ID,Condicion,M001,M002,M003,M004,M005,M006,M007,M008,M009,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083,M084,M085,M086,M087,M088,M089,M090,M091,M092,M093,M094,M095,M096,M097,M098,M099,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119,M120,M121,M122,M123,M124,M125,M126,M127,M128,M129,M130,M131,M132,M133,M134,M135,M136,M137,M138,M139,M140,M141,M142,M143,M144,M145,M146,M147,M148,M149,M150,M151,M152,M153,M154,M155,M156,M157,M158,M159,M160,M161,M162,M163,M164,M165,M166,M167,M168,M169,M170,M171,M172,M173,M174,M175,M176,M177,M178,M179,M180,M181,M182,M183,M184,M185,M186,M187,M188,M189,M190,M191,M192,M193,M194,M195,M196,M197,M198,M199,M200,M201,M202,M203,M204,M205,M206,M207,M208,M209,M210,M211,M212,M213,M214,M215,M216,M217,M218,M219,M220,M221,M222,M223,M224,M225,M226,M227,M228,M229,M230,M231,M232,M233,M234,M235,M236,M237,M238,M239,M240,M241,M242,M243,M244,M245,M246,M247,M248,M249,M250
PLT011,Sana,7.0652,3.6358,5.0631,5.41,3.7596,5.5631,3.7708,7.4508,4.9532,3.8937,4.0916,4.5897,7.2593,7.147,7.7281,6.7336,4.2162,6.1658,6.4358,3.6236,3.411,7.6325,7.2716,5.8597,6.2809,3.8293,6.7139,5.3736,7.7672,3.226,6.6052,5.0413,8.2952,4.6408,4.9449,7.3876,6.3072,4.3291,5.5487,7.9612,7.9302,7.9693,3.9788,7.2117,6.9425,7.8299,6.4691,4.2056,5.0773,6.5898,5.7186,5.9865,5.2772,4.7425,7.2254,8.0892,5.8482,3.1195,3.5166,6.6153,4.3799,7.8728,3.6582,3.2171,2.4595,4.7149,7.8688,7.7766,8.0015,3.3839,3.3361,5.2849,6.4267,7.1697,4.8417,3.028,4.2834,7.4221,3.4036,6.8204,6.8723,5.4318,4.7466,5.0749,3.6104,3.7866,7.5892,4.9311,7.1873,4.2941,5.672,6.1095,4.2849,3.9614,6.3085,7.3828,5.6058,5.6892,5.0888,5.235,5.3164,8.4707,4.4141,5.5441,7.7842,5.5506,5.5051,4.0113,3.1827,5.511,7.9875,4.5857,3.0836,4.6062,6.033,6.9438,5.0239,3.233,7.1699,3.5558,5.6557,4.07,2.815,4.8665,5.7122,4.0323,7.043,6.4313,5.324,7.6892,4.3772,6.6303,6.7349,5.5186,7.5829,7.2244,6.4025,2.9293,5.0138,6.4898,5.2843,5.0513,7.7174,5.2054,3.9482,4.1126,7.0424,4.6743,4.4031,8.0157,6.9121,5.633,4.5115,5.9967,6.6169,8.2762,7.4128,6.8152,6.5202,3.134,4.4527,6.4849,4.1816,3.0882,6.1261,3.9143,3.4718,4.3957,5.9671,5.1908,3.8229,3.6077,5.1152,5.0286,5.3739,5.4363,6.1181,5.0174,2.5641,4.3759,4.1501,6.8364,6.9805,8.4804,5.0043,7.3051,4.4271,3.5978,3.4289,5.0381,7.795,4.8272,7.8302,7.203,4.2427,4.752,4.295,5.8841,3.1665,5.1714,4.6728,3.8967,4.2903,6.088,3.2863,6.4084,2.7784,6.4055,5.1291,5.3557,3.8188,5.684,3.7374,4.8319,7.9195,7.1409,3.7063,6.888,6.1497,8.3362,5.4094,4.3453,6.1231,3.7841,7.3397,6.6263,3.7068,3.765,5.8115,6.6537,4.0167,4.6508,3.9517,7.4334,4.669,5.7272,7.0354,4.014,3.2923,6.3987,7.2899,7.7801,5.7094,4.7239,8.3732,5.9698,7.2511,3.4633,7.1068,4.1401
PLT012,Sana,6.1627,3.1031,4.5629,4.7717,3.0795,5.7992,3.4021,6.7565,5.3015,4.0321,4.4802,5.4472,6.7189,7.097,7.9502,6.4599,3.7087,6.7046,5.5178,4.5106,3.5653,8.5956,6.681,5.4632,6.5729,5.6998,6.4882,5.7429,8.0666,3.8131,6.1861,5.0334,7.1374,4.9872,5.7575,7.5418,5.7373,4.5287,5.4048,8.4338,8.2557,7.2908,4.0893,6.3485,7.0955,7.8379,7.0902,4.7889,5.2835,6.8856,5.4828,5.3139,5.388,4.2049,7.5583,8.2343,6.7167,2.6861,3.2703,6.7923,4.0534,7.3184,5.1723,3.8485,3.7263,5.0741,7.7179,7.7888,7.0339,4.0454,2.532,5.6668,6.5189,7.6015,4.4419,3.1357,3.8019,7.2486,4.2041,6.5231,6.2901,4.0723,4.1642,5.1512,4.3073,3.8328,6.9297,4.3408,7.5088,4.1938,4.8715,5.7122,3.5702,4.3142,6.0684,6.8633,5.1773,5.6319,5.0963,5.2919,5.2339,7.406,3.5405,5.6705,7.4695,5.7534,5.5181,5.3396,3.2756,5.4442,7.733,4.9806,3.0674,4.6812,6.5495,6.7271,4.5274,3.2571,8.307,3.3806,6.4799,4.2948,3.0502,6.2934,5.5539,3.8782,7.3451,6.6597,5.4643,6.9514,4.0857,7.6095,7.1111,6.7699,7.0417,7.741,6.456,3.4848,5.2767,7.2907,5.4293,6.2148,8.2734,5.2994,4.1088,4.1666,7.7786,4.5235,3.9314,7.972,6.4139,4.1862,4.4112,5.5845,6.882,7.9035,8.0874,7.3069,6.5503,3.8331,5.0603,6.3333,3.2498,4.1967,6.6823,3.4103,3.0733,4.393,6.7058,5.1155,3.4768,4.663,4.683,5.3025,4.6491,5.0322,6.074,5.599,2.4741,4.173,4.1402,6.9105,6.5003,7.6789,5.5433,7.1516,4.1044,4.5903,2.4209,4.8565,8.0299,5.0311,7.9777,8.4652,5.5622,4.3712,4.0062,6.0977,3.7606,5.4771,6.1935,4.6374,4.7202,5.9998,4.2738,5.9432,2.8328,6.0045,5.3064,5.6595,3.7503,6.216,4.5223,4.325,7.781,7.2212,3.2917,7.3665,6.5067,8.4358,5.5823,4.3828,5.3457,3.8676,5.7512,7.0692,3.111,3.6165,6.9117,6.6957,4.4579,4.3685,3.8948,8.3114,5.358,5.6652,6.1542,3.5516,3.5984,6.5067,6.945,7.9742,6.0443,3.9174,7.2137,5.7628,7.8819,3.8044,7.864,4.2032
PLT013,Sana,6.6575,3.6172,5.0843,5.2115,2.9938,4.6428,3.7203,6.8192,5.0956,3.2124,3.4006,4.4561,8.1494,7.0718,7.1712,7.2413,3.9407,5.7028,4.6594,3.3342,3.1526,7.3603,7.3145,5.5281,6.3486,4.3124,6.8385,5.7776,6.9802,3.7287,6.2599,4.7475,6.9885,5.0426,5.7481,7.0249,6.4717,4.1949,5.4212,7.9557,7.2922,7.8583,4.6427,6.9525,7.6809,7.0401,7.54,3.9251,5.4375,6.1187,6.1135,6.3313,5.6622,4.2495,7.1605,7.6727,6.2623,3.0217,3.5568,6.52,2.9591,6.8486,4.607,3.6445,3.816,5.0711,8.1991,6.8028,7.2056,4.5124,3.0466,5.2394,6.4151,6.5125,4.5248,3.4712,4.09,6.4333,4.0672,6.8072,7.3022,4.5431,3.2021,4.7731,4.2459,3.1048,7.6347,4.8577,7.3052,4.4593,5.6077,6.0217,2.9349,3.5987,5.6092,7.5328,6.5361,6.4645,5.7963,5.6265,4.8694,8.0843,3.3629,5.4324,7.7211,5.6365,5.7368,4.2929,2.8623,5.4971,7.6466,3.9401,3.055,4.4561,5.992,7.3957,5.4599,3.8512,7.4128,3.7679,6.4819,4.2596,3.3224,5.5009,5.2089,4.1,7.6991,6.3425,5.6823,7.0815,3.0153,7.6524,7.6619,6.7235,7.5704,7.2679,6.3623,3.245,5.5541,6.1822,5.1908,4.8963,7.6422,4.4033,4.5925,4.9975,6.9629,4.2347,4.477,7.3508,5.7904,4.8653,3.4913,6.1987,7.0746,7.7919,7.0512,7.7082,6.1967,3.7163,4.9221,6.8869,3.1474,2.8144,6.2657,4.5952,3.5748,4.9245,6.9304,5.0204,3.6511,4.4702,4.7903,5.4082,4.915,5.3234,5.8863,4.6739,2.6998,5.1048,4.5202,6.9151,6.4033,7.4729,4.7613,7.8449,4.1476,3.7164,2.9049,5.6636,7.3375,4.8748,5.8972,8.5029,4.8179,4.56,4.5741,4.6453,3.6941,5.6904,5.1558,3.9082,5.0335,5.052,3.9819,6.5184,3.029,6.7355,4.8368,5.3721,3.3035,6.4264,4.3683,4.4378,8.3194,7.0871,3.0611,6.7335,6.2929,7.7799,6.151,5.2241,5.5911,3.5994,6.1838,6.7346,3.5662,2.8727,6.4421,7.3944,4.2293,4.9438,4.0867,7.3666,5.2938,5.0145,6.5985,4.0945,3.7844,7.1709,6.9346,7.0242,6.0855,4.0908,6.9514,5.4035,7.2213,3.3168,8.1825,3.946
PLT014,Sana,6.7672,3.5355,5.0841,4.6389,2.9463,4.9435,3.9206,7.128,4.3946,3.7485,3.8005,4.5973,7.3075,7.2626,7.7321,6.7497,4.6908,6.3103,4.9294,3.9384,3.4884,7.8997,7.4174,5.0215,5.7285,4.522,6.5947,5.718,8.5195,3.2633,6.9503,5.5339,7.3993,5.0189,6.3036,7.2256,6.7247,3.7537,5.3389,7.7731,7.459,7.4239,5.1982,6.6797,6.4023,7.0929,7.0562,4.5139,5.0332,6.702,6.0307,6.1419,5.0814,4.4594,8.2321,6.8778,6.0452,3.5871,3.1064,6.3269,3.6093,7.6679,3.7551,3.5618,2.8576,5.2409,7.8341,6.6536,7.8455,4.2809,3.2302,4.8606,6.6186,7.4726,4.3575,3.6928,3.2389,6.8885,4.0094,6.9528,7.2166,4.8362,3.5912,3.6673,3.7008,3.3815,7.3302,4.2378,7.2205,5.2232,5.7976,5.8364,3.8503,4.3599,5.4978,7.3781,5.9198,5.6825,5.7625,5.7807,5.7159,8.3535,3.6446,4.7769,6.9192,5.5367,5.7841,4.7423,2.6948,5.3018,7.94,5.7804,2.7169,4.5402,6.5453,7.1448,5.2504,3.6225,8.8551,3.0107,6.0311,4.1705,2.8145,5.2184,5.5676,3.4659,7.2394,6.523,5.5441,7.7503,3.8764,7.6143,6.3848,5.9595,7.1879,6.3934,6.4407,2.553,4.5556,6.6886,5.4776,5.5572,8.1141,4.82,4.5519,4.2451,7.493,4.5648,4.3409,8.7267,6.4555,4.6119,4.229,6.4039,6.4636,7.4604,7.3378,7.4857,6.6724,3.5529,3.9795,5.8965,3.1934,3.0288,6.2629,4.1267,3.7156,4.079,6.3635,4.6288,3.8716,4.6925,4.7807,5.4489,4.8552,5.0484,6.7691,4.4933,2.6368,4.2109,4.2887,6.9347,6.6274,7.4958,4.872,7.2575,4.1988,4.3294,3.3728,5.614,7.8787,5.3123,6.9387,8.0447,4.6359,4.6566,4.3707,5.2006,2.9404,4.8093,4.7366,3.9369,4.8474,5.2552,3.0848,6.1603,2.8714,6.0453,5.1831,6.1315,4.4401,5.7804,4.1436,4.2095,8.3251,6.7349,2.7695,7.2298,6.0795,7.1463,6.3269,3.989,5.8153,3.4048,6.3904,6.7712,2.8593,3.3859,7.3368,6.3015,4.0023,4.3809,4.4782,7.1633,5.3921,5.7781,6.3535,3.9067,3.2508,6.4915,7.4026,7.6783,6.5278,3.8705,6.669,5.3848,7.5584,3.4615,7.1763,3.32
PLT015,Sana,6.9811,3.4972,5.2378,4.7816,2.8851,4.5526,4.1961,6.9243,5.3665,4.0419,4.2027,4.2765,6.6806,6.9391,7.8278,5.8802,4.1505,6.0993,5.0942,4.2668,3.7319,8.1835,7.6816,6.2205,6.1986,4.0963,6.2847,6.1035,7.0735,3.8137,6.5442,4.7323,7.1484,4.207,5.3308,7.3617,5.8334,3.6362,5.4706,7.9877,8.1466,7.1757,5.086,6.7153,6.9524,7.1594,8.0225,4.0964,4.5885,7.3901,6.1851,6.8099,4.9394,4.4289,7.8777,7.496,6.4577,2.1595,4.0005,6.9849,4.669,7.5161,4.4386,4.2945,3.178,5.4051,7.5665,6.9526,7.5281,4.7707,3.1985,5.4308,5.7013,6.8543,3.8955,3.8771,3.9567,7.1461,3.6247,7.1778,7.5677,4.993,3.2635,5.2284,4.1969,3.633,7.4895,4.2612,7.1873,4.6946,6.2628,5.5678,3.8193,4.4876,6.4282,8.3235,5.8384,5.3249,5.8419,5.2951,4.7377,7.963,3.0419,5.8407,7.5064,5.4107,5.5461,4.575,3.6341,5.7846,7.3356,4.7298,2.7738,4.4448,6.8503,6.5308,5.2333,4.0366,8.3903,3.6583,6.544,3.4173,3.0979,5.3617,5.04,3.5668,6.7563,6.3454,5.9978,7.3929,3.6971,7.761,7.3943,7.0028,8.4764,7.477,5.6672,3.324,5.091,7.2604,4.9887,4.7209,7.3625,4.7984,5.1601,4.5491,7.3062,4.1037,4.7607,6.6438,6.2018,4.9089,4.3306,6.2546,6.8435,7.0968,7.1148,6.5167,6.9092,4.1885,5.0385,6.0536,3.6351,3.1225,6.3134,3.3064,4.0983,4.5882,7.0641,4.9069,3.9028,4.1737,4.9168,5.3015,4.9125,4.9796,6.2908,5.3874,2.7613,4.4093,4.1765,6.4807,6.4776,8.2388,4.7044,7.2706,3.5826,3.8777,3.6078,4.4411,7.3886,5.2999,7.2859,7.8465,4.8206,5.1081,5.0287,6.1588,3.4864,5.7016,6.3422,4.9174,4.8703,5.6913,3.9679,5.8022,3.3393,7.14,5.7651,4.9756,3.7309,5.9896,4.3809,4.4008,7.7874,6.8206,3.6503,6.9958,5.9304,8.1983,6.1577,4.4933,5.2698,3.754,6.7486,6.1692,3.0619,3.1501,6.7301,5.7934,3.7825,4.0662,3.8988,7.6737,5.2614,5.8027,6.7374,4.2151,2.8822,6.22,6.8224,7.341,6.1908,3.1167,7.5076,6.2821,7.3077,3.0877,8.0192,3.902
PLT016,Sana,6.5445,3.8503,5.1535,4.3808,3.3985,5.1538,4.1372,5.9142,4.7298,3.2114,4.0793,4.7166,7.3879,6.5749,7.8202,6.6861,4.0276,6.6293,5.8859,5.1431,2.6438,7.1775,7.3081,5.5177,6.8431,4.6784,6.2094,5.5235,7.5127,3.5086,6.1926,4.3692,6.9439,4.5455,6.0262,6.766,5.5349,3.8667,5.8291,7.1688,7.2986,7.9004,4.8493,6.6341,7.0181,7.2065,7.339,4.3813,5.5727,5.8829,5.6151,6.9496,5.0156,3.7441,8.027,7.9272,5.6095,2.9921,3.5637,6.3432,3.6449,7.0109,4.415,3.8829,3.3912,5.576,8.2378,6.8924,7.5266,4.2099,2.8009,5.4542,6.344,7.3725,3.9666,3.5762,4.7536,6.6841,3.2604,7.0955,7.545,5.092,3.4533,4.3625,3.9881,3.9717,7.5128,4.1307,7.4911,4.7519,5.7782,5.2242,3.0195,3.7167,6.3549,7.3302,4.9304,6.2189,5.7805,4.723,4.6643,7.2185,3.5606,5.1687,7.2762,5.3341,5.8594,4.9975,2.931,6.0228,7.4727,4.6688,2.7179,4.9463,6.5735,6.7902,5.5491,3.7783,7.5992,3.1932,6.2749,3.87,3.6724,5.4397,5.1872,3.9032,7.0026,7.0377,5.6617,7.029,3.1613,7.6016,7.8665,6.175,7.6442,7.6347,5.2961,3.7573,5.228,6.5566,5.0284,4.9807,7.665,4.9534,4.5666,4.1574,7.4122,4.9062,3.8447,7.7917,4.9617,4.9251,4.3613,5.8679,6.3103,8.0488,6.6879,7.9071,5.9624,4.0849,5.0883,6.5488,3.8565,3.0693,6.9142,3.6201,3.422,4.8159,6.2262,4.9097,3.8392,4.9585,4.3688,6.2153,4.8437,6.0982,6.1074,5.059,3.6544,3.8815,4.2573,7.7032,7.0447,7.8401,5.3809,6.956,4.4832,4.3077,3.4378,5.2475,8.5787,4.7954,8.1314,7.7746,4.5001,4.6393,5.0478,5.3639,3.3002,5.4453,4.9009,4.4926,4.6869,5.8793,3.6552,6.0004,3.5371,6.8944,5.481,5.9096,3.514,5.7778,4.0869,4.4119,8.3778,6.5266,3.2971,7.5831,5.5752,9.3164,6.1245,5.1799,5.7803,3.795,6.078,7.3695,3.4067,3.2469,6.1267,6.4145,4.4402,3.7768,3.6559,7.5823,5.285,5.4926,6.8316,3.4582,3.6707,6.8497,6.8249,7.7226,6.3948,3.3697,8.1881,5.7678,7.4033,3.1257,8.3347,3.7708
PLT017,Sana,6.5585,4.1021,4.6995,4.6129,3.7047,4.2685,3.5848,6.6959,4.2639,3.1365,3.5067,4.4409,7.1265,6.6447,7.9861,6.4469,4.6178,6.499,5.7029,3.0211,3.5753,7.1652,7.2055,5.5505,6.3221,4.5202,6.0906,5.7869,7.7131,4.6475,6.8715,5.4648,7.6003,5.071,5.4569,7.4753,6.5567,4.3522,4.8221,7.8451,7.6912,7.4927,4.9544,7.1259,7.4396,7.1095,7.9721,3.9722,5.2451,6.4557,5.9801,6.532,5.193,5.1463,6.7103,7.2538,5.8484,3.2088,3.3037,6.2501,4.0379,7.353,4.0027,3.2427,3.1365,4.4838,7.9506,7.3398,8.0447,5.0037,3.1546,5.6609,6.4866,7.1597,3.9858,3.0676,3.9381,7.0856,3.7282,7.0772,7.1345,4.5434,3.4816,4.3013,3.6016,3.9021,7.9095,4.3576,8.0845,4.6973,5.3772,5.9008,3.4808,4.2073,5.8239,7.7599,5.7862,5.0433,4.9044,5.4019,5.477,7.2915,3.8671,4.8229,8.2357,5.1384,5.9955,5.1421,3.0635,6.4799,7.6118,5.2125,2.4872,4.3259,5.7763,6.7383,5.0435,4.086,7.4633,3.6306,5.9364,4.3413,2.9085,4.9536,5.022,3.4153,6.5783,6.6005,5.7835,7.5757,4.2902,7.1462,7.8396,6.4968,7.6499,7.5322,6.9487,3.4859,5.351,6.9351,4.9757,4.36,7.4775,4.7707,4.5053,4.2788,8.1649,5.1652,4.924,7.8691,6.1798,4.6295,4.2618,5.6386,6.7097,8.048,6.1405,6.8844,6.2104,3.1198,4.9864,5.9478,2.956,3.8692,7.1861,4.3043,3.8441,4.378,6.535,5.0019,3.7996,3.5511,3.7854,5.829,5.298,5.4259,6.3511,4.9182,3.6131,4.6103,3.9714,6.5253,6.078,8.2783,5.9045,6.8008,4.0758,4.5441,2.4532,5.4492,7.8534,4.5733,7.4662,6.9321,4.2991,4.8655,4.0244,6.5356,3.5509,5.4079,5.4819,4.4348,4.2955,5.8106,4.2561,5.8346,3.5209,5.7355,5.2105,5.9599,4.5592,6.2017,3.5312,4.2593,7.7993,7.0348,2.9533,7.2464,6.1622,8.2459,5.6603,4.8998,4.9222,3.6047,7.3955,6.7521,3.3794,4.1713,7.1699,6.3402,3.7837,5.6326,4.0835,7.3921,4.9251,6.0369,6.8518,3.4997,3.3023,6.2805,7.4169,7.7629,6.9337,4.1222,7.4385,5.7138,7.0843,3.474,8.9032,3.5432
PLT018,Sana,6.6365,4.0183,4.885,5.0903,3.3841,5.1859,3.5481,6.8319,4.6436,4.2041,4.1966,4.8686,7.3857,7.4745,7.689,7.7244,4.171,5.816,5.1962,3.9957,2.8427,7.0428,7.2514,5.9786,6.139,4.2736,6.5182,5.7207,7.6972,2.7706,6.6497,4.2434,7.3603,4.6123,5.8963,6.5652,6.5779,4.3579,5.4371,8.0789,7.5479,7.3233,3.8677,7.0223,6.9942,6.9844,7.6923,4.5978,4.7377,6.5431,5.6205,6.144,5.4089,5.2646,7.3567,7.168,5.6275,2.9425,3.3464,6.0215,3.3849,7.5451,3.995,3.8246,2.4805,5.5604,7.8296,6.6735,7.8928,4.3209,2.9839,4.7227,7.3016,6.6737,4.5905,3.5428,4.6666,6.6626,3.9902,7.2704,7.1933,4.8865,4.0999,4.9871,4.8083,4.3211,7.2619,5.2177,7.2884,4.5928,5.7346,5.5632,3.7251,4.7135,6.9429,7.6166,5.5529,5.5876,5.5468,5.3722,5.3022,7.4403,3.8493,5.2885,7.9121,5.3876,6.0616,4.981,3.1507,5.5817,8.4801,5.3664,3.4106,4.8883,6.804,6.4917,4.7863,4.2667,8.0964,3.3889,5.4208,4.1353,3.4747,5.2409,4.619,3.4223,6.2059,6.7703,5.958,7.5131,3.8451,7.2295,6.4529,6.0361,7.3042,6.7013,6.5314,3.9562,5.2608,7.9459,5.5938,5.389,7.5112,5.6768,3.3236,4.4882,8.2178,3.5987,3.9912,7.8082,5.6761,5.1858,4.5779,6.7328,6.6509,8.4506,7.3076,7.1914,5.7208,3.6212,4.6681,6.3401,2.5013,3.5238,7.3485,4.1302,3.7673,4.6075,6.5683,5.0209,3.3835,4.4834,3.7678,4.6814,4.882,5.3314,7.0357,4.8792,2.2715,4.6683,4.4673,7.0256,6.822,7.5752,4.747,7.7275,4.3317,4.3549,3.0816,5.2955,7.2513,4.346,6.6378,7.1658,4.2195,4.5691,4.9599,5.2054,3.1136,5.469,5.496,4.1407,4.5196,5.895,4.0372,6.9991,3.1233,6.6377,5.5788,4.8929,3.5801,6.3832,3.929,4.8053,7.0467,7.0249,3.5018,6.4525,5.2559,7.809,6.0584,4.5788,5.5154,2.9336,6.3936,6.6394,3.4526,3.6272,6.9248,6.0776,4.414,3.8962,3.6477,6.8687,4.7158,4.8399,6.6417,4.109,3.7473,6.2034,6.8572,7.796,5.5282,4.1971,7.3497,5.9375,8.4985,3.0938,8.1288,3.5141
PLT019,Sana,6.2477,3.6934,5.2808,4.4594,4.014,5.8177,3.2201,7.3675,4.2492,3.268,5.023,4.5806,7.1873,7.0066,8.1343,6.5598,3.632,5.815,6.0444,3.7193,3.04,8.055,6.374,4.9262,6.4659,4.6466,6.6975,6.1177,7.3468,3.112,6.4818,4.8543,7.0789,4.6975,5.4513,7.849,6.5044,3.4937,5.1713,8.5886,7.2025,7.665,4.2401,6.8821,7.1302,7.0717,7.9607,5.1782,4.9558,7.0899,5.7199,6.0786,5.447,4.1986,7.4023,8.1605,5.3189,3.7032,2.8903,6.539,3.4421,7.9923,4.2191,3.662,3.0447,5.1337,7.5854,8.088,8.3602,4.5931,2.9227,5.1909,6.5343,7.0886,3.9962,3.327,4.4934,6.3466,3.1084,7.1486,7.4929,4.9654,3.3987,4.8781,4.4318,4.1222,8.2099,4.6767,7.8858,4.7918,5.7769,5.5368,4.2081,4.9372,5.8512,7.533,5.4685,5.334,5.0355,4.8864,4.8157,7.9339,3.4467,5.1898,7.2331,5.0773,4.8168,4.8497,2.8825,5.5581,8.2517,5.067,3.2882,4.501,7.0736,7.3034,4.6392,4.5059,8.5462,3.2741,6.409,3.7024,3.668,5.3262,5.8373,3.428,7.5205,6.1374,4.7528,7.3362,3.7083,8.6855,5.9709,6.4354,7.8614,7.3985,6.1472,3.2748,4.9798,6.808,5.2769,5.2939,7.7506,5.5267,3.3173,4.4507,8.0592,5.1752,4.3318,7.6265,5.3702,4.9081,4.3875,6.4166,6.6819,6.4604,7.5016,7.4637,6.6787,4.088,4.9335,7.2175,3.7655,2.8463,6.468,3.7135,3.3183,4.7326,5.9225,4.8816,3.4547,4.1988,3.6207,5.6559,5.4561,5.4464,6.406,4.3784,3.0003,5.2412,4.2207,7.2687,6.8029,8.4761,4.7665,7.6745,4.9516,4.1529,3.3207,6.3727,7.177,4.191,6.7236,7.9456,4.0146,5.5721,4.2359,5.4691,3.5747,5.5144,5.2294,4.0336,4.7804,5.3484,4.1003,5.8728,3.1327,5.8261,4.7356,6.0237,3.6412,6.7548,3.5536,4.1219,7.9391,6.2714,2.3193,7.2545,5.6615,7.6532,5.5136,4.6457,5.7924,4.0206,6.5889,6.9898,3.1528,3.8734,6.2115,6.2066,3.4408,4.8266,3.3151,7.2071,5.275,5.3322,6.4647,3.8915,3.6565,7.1203,6.3052,7.4215,6.7622,3.4296,7.4511,6.1056,7.5781,2.977,7.9914,3.1546
PLT020,Sana,6.687,2.7566,5.0236,4.5359,3.6791,4.7816,4.0127,7.631,4.431,4.4692,3.5518,4.606,6.6916,6.5087,7.4879,6.8149,4.1663,6.1295,5.5548,4.0346,3.2738,7.1817,7.7848,6.3278,6.7396,4.7483,6.3005,5.5535,8.5557,3.7429,6.3834,5.5076,8.1397,4.6856,5.8786,6.9939,6.6138,3.2568,5.8451,7.8383,7.4954,7.3265,4.6322,7.3713,6.929,7.0466,7.8882,4.6852,5.1054,6.3914,6.6634,6.0821,5.8654,3.8689,7.4852,7.9263,6.2058,3.142,3.2706,6.3501,3.0764,7.2906,4.346,4.0616,2.4702,4.9166,8.7304,7.5879,7.9343,4.3248,2.7132,5.6332,6.3497,6.8021,5.3752,3.8547,4.6941,6.6833,3.7838,7.0386,7.6766,5.0218,4.0379,4.9046,4.3688,3.8666,7.6963,4.9562,6.9479,4.9622,5.7963,5.2804,3.4563,4.0163,5.5891,8.4203,5.224,5.4077,6.1292,4.7544,5.8395,7.4124,3.8897,5.4007,7.4695,5.0547,4.8508,4.9947,3.7534,5.9447,7.4775,4.6674,2.5965,4.2524,6.4757,7.662,5.714,3.4846,8.0317,3.2191,6.0317,4.5716,2.3961,5.4606,5.4057,3.728,7.8244,6.9059,6.1011,7.3556,3.7947,6.3709,6.6673,5.6989,6.9292,7.1733,6.1325,2.9479,5.0102,6.8017,5.0707,4.8382,7.9275,5.4092,4.7109,4.5201,7.7692,4.369,4.0507,7.0436,5.9413,4.3255,4.535,5.88,6.3314,7.4801,7.3862,7.0637,6.8233,3.229,4.8252,5.4587,3.0424,2.8925,6.1636,4.1125,4.168,5.2163,6.8438,5.3634,3.7108,3.6389,4.0547,5.023,4.2833,5.384,6.62,4.4751,3.2286,5.2111,3.9897,6.9581,6.4317,8.1796,4.7481,7.3612,3.8481,4.0047,3.8938,5.3705,7.5082,4.7935,6.9221,7.9517,3.9457,5.0378,5.1758,5.2332,3.9578,4.9354,5.4088,5.0318,3.7889,5.2493,3.765,6.5957,4.0287,6.9436,5.3275,5.3823,3.9103,5.8047,4.6289,4.2025,7.841,7.4389,3.0101,7.3623,5.6782,8.2776,6.1637,4.5163,5.7146,3.7152,6.2811,6.5048,3.8245,3.2993,6.7993,7.0968,4.3499,4.6207,3.5591,7.2811,5.5618,5.6102,6.1741,4.0355,3.4311,6.3861,6.592,7.5525,6.3814,4.0221,7.0281,5.842,7.6067,3.3307,8.328,3.3681
