ID,pH,Temp_C,DBO5_mgL,DQO_mgL,SST_mgL,N_Total_mgL,P_Total_mgL,Grasas_Aceites_mgL,Conductividad_uScm,OD_mgL,Estado
80,4.61,21.8,105.4,142.7,153.3,8.0,1.85,16.6,1123.0,7.2,PROBLEMATICO
81,6.74,36.2,144.7,,192.1,65.5,0.56,17.7,1185.0,,PROBLEMATICO
82,7.43,20.5,67.7,395.5,49.8,17.3,2.82,18.9,,3.89,TRATABLE
83,8.77,28.4,140.5,201.9,35.0,47.0,4.37,1.7,25.0,3.94,PROBLEMATICO
84,6.38,,227.3,130.6,205.1,19.4,1.36,,1384.0,6.42,PROBLEMATICO
85,6.03,30.0,281.5,173.7,156.1,13.0,10.56,5.4,,4.2,PROBLEMATICO
86,6.4,27.9,64.9,73.0,168.9,47.5,5.87,14.8,1371.0,3.61,PROBLEMATICO
87,8.1,22.2,24.0,98.4,143.4,36.2,3.9,6.8,692.0,4.86,TRATABLE
88,7.39,20.1,107.7,26.9,139.5,21.6,4.26,15.7,596.0,6.63,TRATABLE
89,6.36,30.9,,201.5,150.3,42.4,0.17,18.4,1328.0,1.89,PROBLEMATICO
90,7.62,,209.6,369.6,,67.4,0.4,,1762.0,6.0,PROBLEMATICO
91,7.12,24.8,124.9,349.7,117.1,8.8,7.97,1.0,,5.21,PROBLEMATICO
92,8.16,,48.7,476.2,15.6,30.5,8.91,,1735.0,5.29,PROBLEMATICO
93,6.16,14.7,1.3,436.1,78.0,14.6,2.65,25.5,1558.0,4.54,TRATABLE
94,6.61,22.1,197.9,154.9,259.6,5.2,5.41,12.5,580.0,4.56,PROBLEMATICO
95,6.53,26.4,174.0,253.4,121.9,4.7,8.14,12.3,770.0,5.91,PROBLEMATICO
96,,35.0,215.5,244.1,199.6,50.7,2.97,1.7,1419.0,1.4,GRAVE
97,,30.4,32.9,137.2,151.5,10.8,8.56,3.8,724.0,2.88,PROBLEMATICO
98,7.31,28.5,,30.9,101.5,31.1,6.3,41.2,549.0,1.12,GRAVE
99,7.01,,36.9,219.9,39.1,7.1,5.35,8.6,456.0,8.12,TRATABLE
100,6.72,24.1,183.9,218.9,100.0,53.9,3.27,64.8,2435.0,7.02,GRAVE
101,5.3,34.0,51.9,342.2,158.3,17.1,,5.9,290.0,0.16,PROBLEMATICO
102,6.5,28.0,48.9,333.5,198.0,15.4,2.66,21.6,1051.0,5.22,PROBLEMATICO
103,6.59,16.5,260.5,68.7,152.2,50.3,4.89,19.1,690.0,,PROBLEMATICO
104,6.04,23.6,194.8,343.3,204.9,37.8,4.76,15.7,595.0,5.69,PROBLEMATICO
105,6.81,22.7,70.8,282.1,12.0,32.0,,13.7,1488.0,5.17,TRATABLE
106,7.48,24.3,73.3,362.2,226.7,36.5,1.84,9.7,1776.0,4.22,PROBLEMATICO
107,9.26,29.8,129.1,,27.2,2.5,3.42,18.5,376.0,,PROBLEMATICO
108,7.21,26.5,166.3,224.3,238.4,35.4,0.95,,1237.0,6.54,PROBLEMATICO
109,7.31,26.6,232.6,474.2,,18.4,0.64,36.8,1120.0,3.31,PROBLEMATICO
110,6.91,33.6,78.9,,47.0,28.5,1.93,11.0,883.0,3.73,TRATABLE
111,4.7,23.5,25.1,79.8,213.7,30.7,6.48,19.6,546.0,5.79,PROBLEMATICO
112,6.97,36.3,134.1,327.2,239.5,2.0,0.67,14.3,1976.0,6.21,PROBLEMATICO
113,7.07,23.6,78.8,183.6,265.8,32.7,1.34,13.8,,5.09,PROBLEMATICO
114,,27.4,2.9,297.1,63.1,18.6,6.12,,288.0,3.54,PROBLEMATICO
115,,25.6,146.8,608.7,157.9,0.3,1.7,34.5,1969.0,1.16,GRAVE
116,7.36,27.6,100.8,320.8,209.4,19.4,,17.8,1340.0,1.24,PROBLEMATICO
117,,29.2,147.6,288.2,213.6,22.4,6.43,27.1,373.0,4.09,PROBLEMATICO
118,5.6,29.2,39.5,93.5,181.0,32.7,3.61,36.1,1146.0,4.83,PROBLEMATICO
119,8.37,,163.8,56.0,97.3,21.0,4.2,4.2,763.0,3.79,TRATABLE
120,7.9,21.4,1.5,236.9,,29.0,3.33,13.0,2242.0,2.4,PROBLEMATICO
121,7.95,39.5,45.5,442.0,239.4,12.8,5.27,25.0,1031.0,2.09,PROBLEMATICO
122,5.91,24.6,98.1,191.9,,36.6,6.06,37.4,,4.83,GRAVE
123,8.68,30.5,276.8,322.3,61.6,22.0,3.63,15.9,1184.0,7.21,PROBLEMATICO
124,5.32,19.0,190.6,506.8,67.2,16.0,0.49,4.1,2206.0,3.01,PROBLEMATICO
125,7.7,25.6,216.9,502.3,276.5,18.8,4.89,,1342.0,4.45,GRAVE
126,9.63,26.4,247.5,327.2,235.1,28.0,2.98,2.7,2010.0,3.08,PROBLEMATICO
127,5.81,,444.3,280.6,138.0,,6.57,12.4,,5.7,GRAVE
128,6.32,13.4,123.7,23.4,120.1,6.0,1.31,5.0,813.0,4.25,TRATABLE
129,7.12,27.8,247.8,136.6,36.8,15.8,3.06,9.3,1201.0,6.48,TRATABLE
130,6.4,21.3,211.1,199.5,131.6,48.4,0.45,27.6,,4.74,PROBLEMATICO
131,5.14,28.6,209.6,96.6,20.9,15.5,6.35,22.3,,,PROBLEMATICO
132,7.08,21.8,279.7,294.7,155.9,28.6,7.68,3.9,446.0,2.79,GRAVE
133,5.73,,82.3,594.1,258.5,0.2,2.54,40.2,2152.0,2.83,GRAVE
134,7.57,25.6,,523.2,42.0,8.9,3.42,0.2,,5.42,PROBLEMATICO
135,5.9,21.7,,293.9,,3.3,1.57,31.8,2132.0,4.96,PROBLEMATICO
136,8.86,24.6,103.6,,239.8,9.6,1.86,18.1,264.0,8.53,PROBLEMATICO
137,,21.0,148.7,118.9,162.0,40.7,6.08,13.7,,2.31,PROBLEMATICO
138,6.61,17.8,260.6,513.5,87.6,42.7,2.49,17.7,790.0,6.48,GRAVE
139,7.98,32.1,77.0,31.2,141.0,12.7,5.43,16.0,33.0,4.76,TRATABLE
140,5.52,20.5,92.6,414.3,235.7,12.3,,37.9,2002.0,2.55,GRAVE
141,7.27,26.1,135.7,339.2,,34.6,6.25,2.3,480.0,0.0,GRAVE
142,8.57,30.8,99.5,113.9,139.7,,2.82,13.3,1757.0,3.23,TRATABLE
143,5.07,,52.3,212.4,255.6,,7.26,7.2,1291.0,3.48,GRAVE
144,7.22,,67.8,45.8,191.5,34.1,9.63,27.2,1936.0,3.48,PROBLEMATICO
145,7.31,28.1,181.9,53.5,19.7,17.2,1.1,29.0,,6.3,TRATABLE
146,7.94,32.6,249.4,36.4,203.1,18.8,3.72,,,3.58,PROBLEMATICO
147,5.52,21.2,16.1,388.2,235.0,21.0,3.72,53.8,1829.0,5.05,GRAVE
148,5.42,26.2,,467.0,16.3,6.8,1.85,25.0,1786.0,1.71,PROBLEMATICO
149,7.63,18.3,122.7,,86.9,38.9,5.22,37.6,1515.0,5.28,PROBLEMATICO
150,7.36,25.0,,580.9,35.8,35.4,7.36,0.9,966.0,1.9,GRAVE
151,7.3,27.2,80.0,247.8,129.8,,,2.4,1040.0,5.85,PROBLEMATICO
152,7.42,22.7,36.2,302.2,241.0,26.4,2.15,50.6,1275.0,6.43,PROBLEMATICO
153,6.18,24.7,243.2,15.0,50.9,3.7,8.97,9.4,1014.0,1.5,PROBLEMATICO
154,7.28,20.0,50.8,487.7,195.5,31.1,3.28,28.8,2730.0,8.35,PROBLEMATICO
155,7.35,27.4,268.8,286.0,149.2,24.3,4.27,38.2,1139.0,3.59,PROBLEMATICO
156,6.14,32.3,220.2,455.0,158.0,,0.79,36.2,395.0,5.22,PROBLEMATICO
157,,21.5,61.8,,99.3,1.3,4.13,13.7,1116.0,6.03,PROBLEMATICO
158,7.57,23.9,23.5,490.3,349.9,9.0,8.11,8.7,613.0,3.15,PROBLEMATICO
159,,29.5,102.6,133.3,49.2,6.6,5.49,26.2,2570.0,,PROBLEMATICO
160,7.79,33.1,110.6,212.6,138.5,18.1,4.58,28.4,1268.0,3.65,PROBLEMATICO
161,5.83,19.5,151.2,139.9,49.8,9.3,1.31,14.8,1644.0,5.42,PROBLEMATICO
162,,26.2,50.1,411.1,,43.3,6.23,2.5,1561.0,5.67,PROBLEMATICO
163,8.39,28.4,,309.9,30.1,41.7,4.03,10.1,,7.29,PROBLEMATICO
164,6.02,26.5,143.9,442.4,370.1,19.1,2.18,3.9,1367.0,6.99,PROBLEMATICO
165,8.16,,89.4,450.3,104.4,,5.93,7.4,921.0,6.96,PROBLEMATICO
166,7.5,29.5,55.9,60.9,118.9,5.4,1.46,9.6,1233.0,6.25,TRATABLE
167,7.99,34.6,103.4,493.1,135.7,9.3,5.68,48.3,341.0,6.09,PROBLEMATICO
168,9.28,27.6,46.5,421.2,26.8,33.3,7.65,10.0,1095.0,3.69,PROBLEMATICO
169,6.71,21.8,125.3,183.5,245.5,7.8,4.46,12.2,2456.0,3.39,PROBLEMATICO
170,6.1,24.4,127.7,313.0,204.0,56.4,2.73,,1715.0,,PROBLEMATICO
171,5.93,35.8,143.6,227.7,231.8,48.8,2.28,46.1,1126.0,7.3,GRAVE
172,6.02,31.5,279.0,360.9,,22.0,5.15,13.7,2608.0,4.6,PROBLEMATICO
173,,30.2,,183.1,253.5,,2.7,15.0,,5.17,PROBLEMATICO
174,7.41,28.8,210.4,336.2,242.0,11.8,11.1,28.3,1440.0,0.0,GRAVE
175,7.33,23.7,140.7,262.1,116.8,50.8,0.25,5.5,,3.18,PROBLEMATICO
176,,26.0,98.6,172.2,229.5,10.2,3.61,18.4,1057.0,,TRATABLE
177,7.02,26.6,109.3,284.2,167.3,38.8,4.82,1.4,1476.0,5.16,PROBLEMATICO
178,8.74,29.7,114.7,737.2,19.4,22.4,4.46,7.1,,3.18,PROBLEMATICO
179,6.68,34.5,145.2,126.6,121.7,34.8,2.32,26.2,1058.0,4.27,PROBLEMATICO
180,10.26,32.6,33.7,205.0,91.8,7.2,7.7,47.8,615.0,,PROBLEMATICO
181,7.75,19.9,11.9,129.7,148.5,16.0,6.0,8.0,2483.0,4.03,TRATABLE
182,5.97,,178.9,148.6,242.1,,6.22,25.5,1271.0,4.74,PROBLEMATICO
183,5.71,30.7,200.8,396.8,,10.6,2.0,23.7,474.0,4.49,PROBLEMATICO
184,,30.1,187.1,378.9,95.6,44.5,2.79,18.1,,4.92,PROBLEMATICO
185,6.73,23.9,133.9,248.9,57.8,8.2,5.46,2.6,2594.0,6.91,PROBLEMATICO
186,7.86,41.6,189.1,434.7,62.1,11.6,0.7,3.2,2925.0,9.46,PROBLEMATICO
187,,20.6,184.2,392.8,57.7,46.5,6.0,0.7,1436.0,7.45,PROBLEMATICO
188,6.91,21.6,190.9,220.8,146.8,43.0,3.7,11.8,770.0,4.97,PROBLEMATICO
189,5.98,28.2,42.6,26.1,192.3,50.6,7.19,,1433.0,6.89,PROBLEMATICO
190,5.18,,21.3,399.4,174.8,12.3,2.72,,986.0,1.51,PROBLEMATICO
191,6.46,22.8,85.0,280.5,158.6,25.6,9.44,11.3,1602.0,4.46,PROBLEMATICO
192,8.03,25.7,118.4,254.0,202.2,23.6,5.23,3.6,1445.0,3.1,PROBLEMATICO
193,7.26,32.4,98.2,166.1,378.0,11.9,5.56,,1177.0,3.36,PROBLEMATICO
194,5.51,26.9,48.9,384.0,153.6,27.8,1.92,8.0,1141.0,6.42,PROBLEMATICO
195,7.21,25.3,275.0,312.7,242.1,,4.76,,1046.0,7.23,PROBLEMATICO
196,7.46,29.8,95.3,207.4,236.4,24.9,2.35,19.1,1864.0,1.84,PROBLEMATICO
197,5.94,28.4,135.5,29.4,317.8,83.2,0.62,6.1,1065.0,,GRAVE
198,7.18,,232.0,442.2,,27.7,3.41,12.1,2639.0,3.2,PROBLEMATICO
199,,33.5,91.0,358.9,55.6,28.5,7.49,12.6,2704.0,5.84,PROBLEMATICO
200,5.63,28.5,73.9,296.0,170.5,36.8,3.81,18.0,935.0,6.72,PROBLEMATICO
201,7.43,28.5,85.2,228.2,165.1,25.3,3.12,21.5,948.0,9.03,PROBLEMATICO
202,7.67,28.1,89.7,243.2,221.5,2.2,3.08,6.9,1166.0,6.89,TRATABLE
203,8.3,29.4,104.4,206.6,52.7,,10.72,10.7,751.0,6.79,PROBLEMATICO
204,8.26,27.3,250.2,138.7,266.6,21.5,5.83,17.1,1796.0,2.5,GRAVE
205,5.35,27.0,180.6,385.8,140.5,17.2,0.77,38.2,2029.0,3.15,PROBLEMATICO
206,5.87,33.0,206.2,378.7,223.9,13.3,2.37,25.0,2098.0,4.61,PROBLEMATICO
207,,34.6,124.2,328.6,171.0,51.3,2.8,2.2,1054.0,,PROBLEMATICO
208,7.62,,,436.8,152.3,23.9,1.84,9.8,1046.0,4.65,TRATABLE
209,7.62,27.1,67.2,66.0,163.4,47.9,4.19,2.8,194.0,7.36,TRATABLE
210,11.0,23.6,17.6,168.3,207.2,,2.28,28.5,740.0,3.66,PROBLEMATICO
211,7.69,25.4,152.4,263.5,,48.3,2.46,33.4,548.0,4.45,GRAVE
212,8.36,29.0,122.9,138.0,61.7,13.3,4.46,13.0,425.0,4.46,TRATABLE
213,8.14,30.3,101.1,380.9,194.0,44.7,0.62,13.2,859.0,3.51,PROBLEMATICO
214,7.78,26.4,86.8,156.0,144.4,25.9,2.45,,985.0,5.87,TRATABLE
215,6.62,17.4,301.1,483.7,122.3,30.2,7.73,14.7,1183.0,1.91,GRAVE
216,7.91,22.2,45.9,82.4,96.3,30.2,6.51,,2152.0,0.84,PROBLEMATICO
217,6.07,31.5,203.5,633.8,198.0,14.3,5.11,69.2,2016.0,,GRAVE
218,6.72,13.3,120.2,,,10.4,4.91,11.9,413.0,,PROBLEMATICO
219,6.42,32.9,114.5,232.9,56.6,15.5,,25.2,1500.0,2.98,PROBLEMATICO
220,,29.6,225.9,456.3,144.2,4.5,13.05,0.2,640.0,9.15,PROBLEMATICO
221,9.78,33.6,251.6,177.9,110.7,13.3,,1.4,1304.0,4.5,PROBLEMATICO
222,4.76,26.0,98.4,432.4,34.2,9.5,11.82,3.4,2118.0,4.65,PROBLEMATICO
223,7.82,16.7,191.9,218.3,148.8,4.9,10.19,39.1,860.0,2.5,GRAVE
224,5.06,29.2,152.8,,198.0,30.3,5.38,27.7,509.0,5.76,GRAVE
225,6.43,33.4,120.7,385.9,85.1,22.1,3.37,8.1,1236.0,6.55,TRATABLE
226,8.31,31.6,138.4,201.6,166.2,,4.05,18.8,,4.9,PROBLEMATICO
227,7.08,23.7,58.1,300.2,150.8,34.6,2.8,,2604.0,5.13,PROBLEMATICO
228,5.71,27.4,92.5,489.5,244.5,17.7,5.38,36.5,769.0,4.99,GRAVE
229,6.14,,67.7,256.6,129.6,5.1,6.02,22.4,1292.0,2.69,PROBLEMATICO
230,7.82,22.9,201.1,430.5,220.1,27.5,0.33,,1393.0,7.38,PROBLEMATICO
231,6.12,31.8,111.4,168.3,108.7,30.6,11.84,38.7,205.0,3.88,PROBLEMATICO
232,7.26,21.0,3.2,189.3,,20.1,1.66,4.9,167.0,7.95,PROBLEMATICO
233,7.05,22.5,54.9,439.7,96.3,35.8,4.06,19.6,1427.0,2.09,PROBLEMATICO
234,6.22,21.5,167.9,193.6,71.5,40.8,3.75,37.6,937.0,6.31,PROBLEMATICO
235,9.57,19.5,75.5,252.3,130.0,12.5,0.55,6.9,219.0,4.87,PROBLEMATICO
236,7.76,27.7,123.4,178.0,67.2,18.3,3.84,39.1,1681.0,,TRATABLE
237,4.57,32.8,107.7,494.9,,25.4,4.21,,1243.0,3.32,PROBLEMATICO
238,7.22,26.1,298.2,154.9,212.8,33.5,,48.4,1208.0,5.84,GRAVE
239,6.21,19.5,171.7,343.0,166.3,15.6,7.02,39.2,433.0,5.57,PROBLEMATICO
240,,31.2,167.7,415.9,68.2,58.3,0.98,29.4,6.0,8.07,PROBLEMATICO
241,6.05,35.4,27.9,18.7,5.8,3.4,2.91,5.8,781.0,5.84,TRATABLE
242,6.86,23.8,87.2,224.9,154.2,28.2,6.04,3.3,1234.0,3.68,PROBLEMATICO
243,7.61,24.6,76.2,172.3,78.9,51.9,2.03,21.7,704.0,,TRATABLE
244,8.04,29.6,49.3,420.3,194.8,25.7,1.63,3.7,,5.15,TRATABLE
245,5.56,35.1,48.0,371.5,,6.7,5.86,28.5,940.0,7.47,PROBLEMATICO
246,6.6,24.4,42.7,208.0,23.3,71.9,2.3,38.8,1225.0,5.27,PROBLEMATICO
247,6.43,20.3,5.2,,159.1,50.5,,,2190.0,6.55,TRATABLE
248,6.22,30.2,198.7,436.9,191.6,17.9,4.36,21.5,1305.0,5.09,PROBLEMATICO
249,9.12,31.0,107.1,237.8,234.0,36.7,4.01,6.8,173.0,0.74,GRAVE
250,7.49,27.0,74.4,41.3,6.9,36.9,6.99,23.4,216.0,5.41,PROBLEMATICO
251,5.49,24.2,,25.8,21.0,33.6,0.25,40.5,517.0,4.11,PROBLEMATICO
252,,32.0,225.1,328.8,290.3,2.9,10.79,22.4,1438.0,,GRAVE
253,9.55,29.6,120.4,20.4,57.8,27.8,0.24,12.9,463.0,7.8,PROBLEMATICO
254,8.24,23.2,168.6,,87.3,48.3,2.84,38.6,1549.0,8.11,PROBLEMATICO
255,5.18,27.2,43.8,81.3,203.3,31.1,1.39,7.7,2026.0,4.16,PROBLEMATICO
256,6.42,20.2,64.3,249.9,23.1,29.1,4.17,8.1,1613.0,3.56,TRATABLE
257,8.52,30.4,151.9,278.6,113.4,12.3,4.06,,1041.0,3.86,PROBLEMATICO
258,6.15,,290.3,118.7,229.2,5.7,4.5,,2494.0,4.27,PROBLEMATICO
259,7.53,24.8,248.7,153.2,2.1,6.3,4.78,0.5,877.0,4.83,TRATABLE
260,7.93,,172.5,,90.0,35.6,7.92,,568.0,2.66,PROBLEMATICO
261,5.89,27.2,133.6,114.4,27.3,18.0,4.47,19.1,1434.0,4.54,PROBLEMATICO
262,6.93,31.5,,271.0,62.6,2.1,8.17,2.4,1741.0,0.43,PROBLEMATICO
263,3.11,,191.5,228.0,258.6,39.6,1.25,5.8,610.0,8.8,GRAVE
264,5.77,26.2,86.4,297.4,280.5,11.4,2.55,19.1,1977.0,4.04,PROBLEMATICO
265,6.7,30.8,25.1,531.1,165.8,6.6,4.38,54.4,,3.65,GRAVE
266,5.5,29.0,150.4,151.7,193.2,13.1,4.98,41.4,236.0,,PROBLEMATICO
267,8.96,24.9,40.8,165.6,190.5,18.5,2.4,2.1,959.0,,TRATABLE
268,5.28,26.4,39.2,49.8,72.8,30.2,,17.5,,0.44,PROBLEMATICO
269,6.47,26.3,57.0,214.9,,6.2,7.23,0.8,1491.0,3.13,PROBLEMATICO
270,7.16,29.5,96.9,323.8,10.5,40.2,6.01,33.4,,7.34,PROBLEMATICO
271,8.73,25.2,94.1,163.0,44.1,,,26.6,,6.25,PROBLEMATICO
272,5.28,25.0,94.0,325.0,131.3,12.7,4.59,8.7,2057.0,2.16,GRAVE
273,8.4,36.8,194.3,218.0,33.9,19.1,6.28,,979.0,6.87,PROBLEMATICO
274,7.01,31.7,96.1,15.6,12.7,14.4,0.31,13.7,1457.0,6.01,TRATABLE
275,5.82,23.2,85.4,306.2,68.8,23.2,1.59,,31.0,2.88,PROBLEMATICO
276,7.55,29.9,1.4,213.0,254.6,,6.77,8.2,1872.0,4.49,PROBLEMATICO
277,7.24,27.6,212.2,272.1,295.7,14.2,1.19,38.5,849.0,,GRAVE
278,6.28,29.0,,147.9,136.7,25.4,0.73,20.6,1001.0,6.12,TRATABLE
279,7.08,27.7,22.2,132.0,198.2,9.4,0.36,0.0,960.0,,TRATABLE
280,6.54,32.9,,278.3,,31.6,6.75,7.5,1130.0,3.82,PROBLEMATICO
281,7.14,,,208.5,66.6,,0.75,26.4,942.0,4.49,TRATABLE
